company,# applications,avg_wages
HSBC BANK,66,"$122,755"
KEARNEY,65,"$127,621"
ZENSAR TECHNOLOGIES,61,"$86,040"
ENGAGE INFORMATION,60,"$60,167"
FINSOFT CONSULTANTS,60,"$68,419"
GRANDISON MANAGEMENT,60,"$64,792"
ORACLE AMERICA,59,"$124,926"
NOMURA AMERICA SERVICES,59,"$108,217"
HARLEM HOSPITAL CENTER,59,"$58,552"
GLOBAL,58,"$136,888"
AMERICAN INTERNATIONAL GROUP,58,"$97,991"
BAHA INDUSTRIES CORP,58,"$135,850"
MACQUARIE HOLDINGS,56,"$148,087"
AMERICAN EXPRESS COMPANY,56,"$108,414"
STANDARD POOR FINANCIAL SERVICES,56,"$118,324"
FACEBOOK,55,"$133,632"
SERVICES,54,"$100,877"
JEAN MARTIN,54,"$63,608"
ARISTON,53,"$64,702"
PERSISTENT SYSTEMS,52,"$63,624"
YORK UNIVERSITY HOSPITALS CENTER,52,"$73,955"
PARTNERS,52,"$116,948"
MARLABS,51,"$70,231"
UBS AG,51,"$108,701"
ALLIANCEBERNSTEIN,50,"$106,630"
BARCLAYS BANK,49,"$125,480"
GLOBAL APPLICATIONS SOLUTION,49,"$78,408"
MASTECH MASTECH HOLDINGS COMPANY,49,"$101,095"
DATA,48,"$115,400"
HSBC SECURITIES,47,"$111,211"
PRIME HEALTHCARE SERVICES,47,"$51,301"
PROLIFICS,47,"$104,557"
VALTECH SOLUTIONS,47,"$117,436"
RESEARCH FOUNDATION CUNY,46,"$54,238"
SAGITEC SOLUTIONS,46,"$95,189"
AMERICAS,45,"$84,052"
NOMURA SECURITIES INTERNATIONAL,45,"$120,031"
SHAW,44,"$107,186"
GLOBAL SERVICES,44,"$109,743"
MILL GROUP,44,"$84,945"
PRECISION GLOBAL CONSULTING,44,"$91,393"
SYSTEMS,44,"$71,258"
MOODY INVESTORS SERVICE,43,"$101,856"
TRINGAPPS,43,"$62,607"
INDIA PRIVATE LIMITED,42,"$83,205"
SULLIVAN CROMWELL,42,"$170,108"
ROCKEFELLER UNIVERSITY,42,"$64,643"
CITICORP NORTH AMERICA,41,"$101,733"
LYCEE FRANCAIS YORK,41,"$87,254"
CAPITAL,41,"$99,524"
MOODY ANALYTICS,40,"$101,200"
MEDIA GROUP,40,"$119,680"
LUKE ROOSEVELT HOSPITAL CENTER,40,"$86,317"
BARNABAS HOSPITAL,40,"$49,619"
METRICSTREAM,40,"$101,583"
POLARIS SOFTWARE LIMITED,40,"$69,257"
SIGMA INVESTMENTS,39,"$149,154"
CITADEL,39,"$140,543"
RENOWNED CORP,39,"$61,257"
MARKIT NORTH AMERICA,38,"$97,545"
MARKS WORLD,37,"$64,667"
BAIN COMPANY,37,"$126,351"
OLIVER WYMAN,37,"$102,480"
NAGARRO,37,"$73,745"
OPENWAVE COMPUTING,37,"$61,192"
DIASPARK,37,"$65,022"
PARIBAS NORTH AMERICA,37,"$121,014"
ADOBE SYSTEMS INCORPORATED,37,"$94,968"
OPERATIONS,36,"$139,028"
SKADDEN ARPS SLATE MEAGHER FLOM,36,"$188,148"
CYBERVISION,36,"$65,444"
KOHN PEDERSON ASSOCIATES,36,"$58,580"
TECHNOFINA SERVICES,35,"$65,508"
AMERICAN EXPRESS TRAVEL RELATED SERVICES,35,"$111,552"
CLOUDCREO,35,"$60,001"
DELOITTE TOUCHE TOHMATSU SERVICES,35,"$192,000"
ZIFF BROTHERS INVESTMENTS,35,"$138,081"
TWITTER,35,"$125,871"
NYSE MARKET,35,"$103,074"
FACTSET RESEARCH SYSTEMS,34,"$105,368"
ORACLE FINANCIAL SERVICES SOFTWARE,34,"$80,180"
HEXAWARE TECHNOLOGIES,33,"$72,171"
RAZORFISH,33,"$112,195"
MANAGEMENT,33,"$98,926"
PRIMESOFT,32,"$62,759"
SINOVISION INCORPORATED,31,"$42,060"
GROUPM WORLDWIDE,31,"$85,603"
VIACOM INTERNATIONAL,31,"$94,571"
CAPGEMINI FINANCIAL SERVICES LEGACY KANB,31,"$106,583"
TOWER RESEARCH CAPITAL,31,"$130,165"
SKIDMORE OWINGS MERRILL,31,"$75,623"
ACTIMIZE,30,"$106,273"
DELOITTE ANALYTICS,30,"$165,760"
APPNEXUS,29,"$105,532"
MOODY SHARED SERVICES,29,"$108,471"
CONSULTING GROUP,29,"$109,707"
YORK TIMES COMPANY,29,"$118,249"
THORNTON TOMASETTI,29,"$72,966"
FORDHAM UNIVERSITY,28,"$94,506"
SIMPSON THACHER BARTLETT,28,"$187,750"
ABOUT,28,"$78,182"
THOUGHTWORKS,28,"$99,975"
LUKE ROOSELVELT HOSPITAL CENTER,28,"$71,467"
BLUECREST CAPITAL MANAGEMENT,27,"$168,074"
EVERYDAY HEALTH MEDIA,27,"$88,384"
ARKRIT,27,"$65,000"
RALPH LAUREN CORPORATION,27,"$89,916"
FAREPORTAL,26,"$95,859"
VIRTUSA CORPORATION,26,"$120,755"
NEXT MANAGEMENT,26,"$260,000"
THINKNXT,26,"$57,784"
ARCHITECTURE,25,"$56,906"
ASIA,25,"$74,527"
MAJESCOMASTEK INSURANCE SOFTWARE SOLUTIONS,25,"$83,853"
CITADEL INFORMATION SERVICES,25,"$61,232"
YAHOO,25,"$132,771"
MEDIDATA SOLUTIONS,25,"$106,968"
GRANT THORNTON,25,"$79,635"
MAANTIC,25,"$87,935"
ECLINICALWORKS,25,"$80,925"
POPULUS GROUP,25,"$125,856"
PHOTON INFOTECH,25,"$66,345"
EAPT SOLUTIONS,24,"$62,067"
LAZARD FRERES,24,"$131,571"
SHEARMAN STERLING,24,"$187,883"
MSCI,24,"$96,777"
DAVIS POLK WARDWELL,24,"$183,291"
YORK TECHNOLOGY PARTNERS,24,"$79,609"
SPOTIFY,24,"$133,625"
CREW GROUP,24,"$104,792"
JONES COMPANY,24,"$87,530"
COMPUNNEL SOFTWARE GROUP,24,"$78,695"
AUSTRALIA ZEALAND BANKING GROUP,23,"$162,963"
TECHNOLOGY SERVICES,23,"$125,412"
ORION SYSTEMS INTEGRATORS,23,"$86,348"
SATYAM COMPUTER SERVICES,23,"$77,320"
GERSON LEHRMAN GROUP,23,"$121,540"
PROFESSIONAL ACCESS,23,"$99,565"
VEDICSOFT,23,"$68,463"
IRIS SOFTWARE,23,"$93,551"
BANK CHINA,23,"$51,205"
MORGAN STANLEY INVESTMENT MANAGEMENT,22,"$84,810"
INTERFYSIO,22,"$63,217"
CUBIST SYSTEMATIC STRATEGIES,22,"$158,873"
CYBAGE SOFTWARE,22,"$81,767"
LINCOLN MEDICAL MENTAL HEALTH CENTER,22,"$59,501"
BLACKSTONE GROUP,22,"$123,599"
AVNET,22,"$114,627"
SLALOM,22,"$115,550"
FUNARO,22,"$71,161"
METLIFE GROUP,22,"$121,315"
ROBERT STERN ARCHITECTS,22,"$59,215"
ALFA SERVICES,21,"$70,549"
HEWLETT PACKARD COMPANY,21,"$110,162"
COACH,21,"$113,046"
CLOUDEEVA,21,"$64,656"
DIONA TECHNOLOGIES,21,"$150,000"
ENTERTAINMENT,21,"$94,821"
STANDARD CHARTERED BANK,21,"$96,081"
INTERNATIONAL,21,"$77,048"
INDUSTRIAL COMMERCIAL BANK CHINA LIMITED,21,"$55,442"
SOCIETE GENERALE,21,"$118,967"
INTERACTIVE DATA PRICING REFERENCE DATA,21,"$127,203"
SOFT CONSULTING GROUP,21,"$59,524"
AKQA,20,"$71,546"
INFUSIONDEV,20,"$121,250"
AMERICAN SOFTWARE RESOURCES,20,"$80,168"
PALANTIR TECHNOLOGIES,20,"$111,574"
HOWARD HUGHES MEDICAL INSTITUTE,20,"$51,300"
ACTIVE HEALTH MANAGEMENT,20,"$110,568"
BYTE CONSULTING,20,"$71,216"
CANTOR FITZGERALD,20,"$83,528"
AOL INC.,20,"$88,734"
DEUTSCHE BANK TRUST COMPANY AMERICAS,20,"$96,545"
GOLDMAN SACHS SERVICES,20,"$113,345"
BLUELINE SOFTWARE SERVICES,19,"$71,918"
YORK SOCIETY RELIEF RUPTURED CRIPPLED,19,"$76,969"
GUARDIAN LIFE INSURANCE COMPANY AMERICA,19,"$107,971"
XAXIS,19,"$77,016"
METROPOLITAN MUSEUM,19,"$80,999"
GEMINI CONSULTING SERVICES,19,"$73,200"
LOGISTIC SOLUTIONS,19,"$73,684"
YORK GENOME CENTER,19,"$99,684"
CLEARY GOTTLIEB STEEN HAMILTON,19,"$184,737"
SOFTWARE,19,"$84,707"
CORP,19,"$65,423"
ARUP PARTNERS,19,"$71,854"
MEDIA,19,"$79,114"
MUREX NORTH AMERICA,19,"$98,327"
KAPLAN TEST PREP,18,"$91,056"
BANK YORK MELLON,18,"$128,483"
MOUNT SINAI BETH ISRAEL,18,"$82,512"
WORLD ECONOMIC FORUM,18,"$149,890"
GCOM SOFTWARE,18,"$91,533"
T2M CONSULTING SERVICES,18,"$64,570"
DEBEVOISE PLIMPTON,18,"$204,444"
DATA CONSULTING,18,"$88,489"
SOFTPATH SYSTEMS,18,"$64,314"
NOMURA HOLDING AMERICA,18,"$105,529"
TRIANZ CONSULTING,17,"$80,835"
INFOCEPTS,17,"$77,495"
360I,17,"$87,191"
TRANSPERFECT TRANSLATIONS INTERNATIONAL,17,"$50,444"
NOVUS PARTNERS,17,"$97,952"
METROPOLITAN HOSPITAL CENTER,17,"$57,679"
"CA, INC.",17,"$124,789"
SIDLEY AUSTIN,17,"$180,000"
EPAM SYSTEMS,17,"$82,113"
RESEARCH FOUNDATION MENTAL HYGIENE,17,"$53,289"
STATE STREET BANK TRUST COMPANY,17,"$113,242"
CAPGEMINI,17,"$141,149"
M2 RESOURCES,17,"$72,059"
LEARNINGMATE SOLUTIONS,17,"$81,843"
MAGEN COMPANY,17,"$76,163"
CITIGROUP TECHNOLOGY,17,"$131,507"
PUBLICIS KAPLAN THALER,17,"$84,529"
KIRKLAND ELLIS,17,"$175,313"
CRAVATH SWAINE MOORE,17,"$162,647"
MAIL MEDIA,16,"$71,403"
3I INFOTECH,16,"$68,500"
CARLYLE GROUP EMPLOYEE COMPANY,16,"$116,340"
MEDIA PLANNING GROUP,16,"$84,750"
AECOM TECHNICAL SERVICES,16,"$95,519"
MITCHELL MARTIN,16,"$143,016"
DENTSU MCGARRY BOWEN,16,"$110,500"
MARSH,16,"$92,054"
DATAFORMIX TECHNOLOGIES,16,"$59,111"
INFORMATION BUILDERS,16,"$82,110"
MEDIAMATH,16,"$115,799"
NEUBERGER BERMAN GROUP,16,"$118,272"
GLOBALTEK SYSTEMS,16,"$55,688"
GLOBAL SYSTEMS,16,"$91,082"
"PTT, LLC",16,"$83,906"
FIRST,16,"$63,901"
"LF USA, INC.",16,"$84,017"
VITECH SYSTEMS GROUP,16,"$95,339"
MEDITERRANEAN SHIPPING COMPANY,16,"$48,759"
BBDO,16,"$111,467"
FRESHFIELDS BRUCKHAUS DERINGER,16,"$149,946"
WAVE,16,"$65,281"
CISCO SYSTEMS,15,"$137,077"
MICROSOFT CORPORATION,15,"$138,441"
DELOITTE CORPORATE FINANCE,15,"$114,500"
MORTGAGE INDUSTRY ADVISORY CORP,15,"$65,168"
ANOMALY PARTNERS,15,"$104,143"
MARKITSERV,15,"$97,536"
DESIGN,15,"$50,027"
CYBERTHINK,15,"$71,827"
EXUSIA,15,"$80,000"
NBCUNIVERSAL MEDIA,15,"$110,810"
BRILLIO,15,"$68,000"
ASSET MANAGEMENT,15,"$130,867"
PARIBAS,15,"$121,133"
LUCID TECHNOLOGIES,15,"$65,223"
NATIONAL UNION FIRE INSURANCE COMPANY PITTSBURG,15,"$117,514"
AXIOM SOFTWARE LABORATORIES,15,"$81,932"
DELOITTE SERVICES,15,"$130,000"
ZYLOG SYSTEMS LIMITED,15,"$63,968"
ABAL TECHNOLOGIES,15,"$70,387"
3EDGEUSAGROUP,15,"$71,200"
WEBMD,15,"$112,662"
WUNDERMAN WORLDWIDE,15,"$63,205"
ADVANCE MAGAZINE PUBLISHERS CONDÄ NAST,15,"$115,000"
GOLDMAN SACHS BANK,14,"$114,700"
FRIED FRANK HARRIS SHRIVER JACOBSON,14,"$185,962"
GLOBAL DATA MART,14,"$61,000"
INFOTECH,14,"$68,146"
CAPITAL TRADING CORPORATION,14,"$67,205"
FORD MODELS,14,"$80,000"
HOLDINGS,14,"$95,131"
FRANCIS CAUFFMAN,14,"$45,799"
STELLAR SERVICES,14,"$64,180"
YESHIVA UNIVERSITY,14,"$96,251"
BARUCH COLLEGE,14,"$103,606"
WEISERMAZARS,14,"$80,145"
LENMAR CONSULTING,14,"$64,284"
MAIMONIDES MEDICAL CENTER,14,"$63,360"
MEDIAOCEAN,14,"$120,676"
BANK TOKYO MITSUBISHI,14,"$98,963"
SOFTWARE SOLUTIONS,14,"$99,966"
SCHOOL,14,"$78,412"
CONSULTING SERVICES,14,"$131,636"
KIRSHENBAUM BOND SENECAL PARTNERS,14,"$93,571"
DIVERSANT,14,"$75,294"
OPEN SOCIETY INSTITUTE,14,"$134,559"
STUDIO,14,"$83,353"
AMERICAS OPERATIONAL SERVICES,14,"$107,857"
SAATCHI SAATCHI NORTH AMERICA,13,"$113,620"
YORK,13,"$85,019"
CAVALIER,13,"$65,000"
CLARITY SOLUTIONS GROUP,13,"$99,006"
GENPACT,13,"$112,052"
CITY UNIVERSITY YORK,13,"$90,533"
CORP2CORP,13,"$69,749"
HANDEL ARCHITECTS,13,"$57,373"
SAKS DIRECT,13,"$106,790"
LORSIV TECHNOLOGIES,13,"$54,933"
DAILYMOTION,13,"$98,561"
HUDSON DATA,13,"$68,712"
TIFFANY,13,"$95,669"
BUZZFEED,13,"$71,568"
PIPER,13,"$179,229"
BORDERFREE,13,"$115,854"
PACIFIC INVESTMENT MANAGEMENT COMPANY,13,"$102,156"
VEEJAY ASSOCIATES,13,"$70,578"
NAVILLUS TILE,13,"$51,538"
APTEC,13,"$105,000"
SANTANDER BANK,13,"$90,654"
HAVAS WORLDWIDE YORK,13,"$94,822"
"THE GAP, INC.",13,"$131,534"
LEVY GROUP,13,"$47,422"
ALEXANDER WANG INCORPORATED,13,"$81,573"
VSQUARE INFOTECH,13,"$57,814"
ANALYSTS,13,"$75,331"
SHUTTERSTOCK,13,"$100,142"
HORIZON TECHNOLOGIES,12,"$60,560"
ARVATO SYSTEMS NORTH AMERICA,12,"$90,713"
ASTIR SOLUTIONS,12,"$64,000"
ESSEX TECHNOLOGY GROUP,12,"$85,750"
PRINCETON BLUE,12,"$115,459"
PROTIVITI,12,"$97,486"
FIG LLC,12,"$103,316"
TBWA WORLDWIDE,12,"$104,127"
TEACHERS COLLEGE COLUMBIA UNIVERSITY,12,"$79,603"
TEACHING HOUSE,12,"$48,377"
COMMONWEALTH BANK AUSTRALIA,12,"$160,064"
MEDICAL DYNAMIC SYSTEMS,12,"$64,581"
CIGITAL,12,"$103,813"
COTY,12,"$85,599"
INC,12,"$81,607"
LAGUARDA ARCHITECTS,12,"$48,514"
SENA INFO TECHNOLOGIES,12,"$62,929"
WESTPAC BANKING CORPORATION,12,"$171,455"
CREDIT SUISSE ASSET MANAGEMENT,12,"$114,517"
USTWO STUDIO,12,"$98,625"
NATIXIS NORTH AMERICA,12,"$156,667"
SCHRÉDINGER,12,"$103,750"
NAVIGANT CONSULTING,12,"$109,722"
CALVIN KLEIN,12,"$119,117"
FITCH RATINGS,12,"$107,063"
SPLENDTEK,12,"$60,958"
ADMARKETPLACE,12,"$74,964"
FIRSTBORN MULTIMEDIA CORPORATION,12,"$74,583"
EVERCORE PARTNERS SERVICES EAST,12,"$126,250"
BANK INTERNATIONAL,12,"$135,625"
GILT SHARED SERVICES,12,"$130,001"
MICHAEL KORS,11,"$76,408"
EBAY,11,"$122,914"
SIGMA,11,"$58,945"
INSTRUMENTAL SERVICES,11,"$74,636"
ALLIANCE DATA SYSTEMS,11,"$81,625"
ZOCDOC,11,"$100,000"
QUIRKY,11,"$92,465"
APEX TECHNOLOGY GROUP,11,"$64,242"
REVAL,11,"$104,311"
QUADRANT 4 SYSTEM CORPORATION,11,"$62,818"
BLUEMOUNTAIN CAPITAL MANAGEMENT,11,"$158,182"
TIME,11,"$119,000"
ALLTECH CONSULTING SERVICES,11,"$115,748"
NUTECH INFORMATION SYSTEMS,11,"$64,638"
SOTHEBY,11,"$79,409"
YOUNG RUBICAM,11,"$94,778"
PYXIS SOLUTIONS,11,"$62,691"
LABS,11,"$106,097"
TARSHAN,11,"$98,889"
YORK LIFE INSURANCE COMPANY,11,"$125,292"
INTONE NETWORKS,11,"$65,364"
ARTHUR GENSLER ASSOCIATES,11,"$50,270"
ENABIL,11,"$108,364"
SQUARE,11,"$108,581"
BERDON,11,"$107,908"
ROTHSCHILD,11,"$106,500"
"BDO USA, LLP",11,"$97,282"
ROCKWELL ARCHITECTURE PLANNING DESIGN,11,"$72,500"
LAKE 5 MEDIA,11,"$52,362"
TECHNOFINA,11,"$60,091"
HAIER AMERICA TRADING,11,"$79,743"
PEARSON,11,"$100,332"
FUSION PLUS SOLUTIONS,11,"$71,091"
HIGHGATE HOTELS,11,"$68,705"
PARSONS BRINCKERHOFF,11,"$81,290"
NIIT TECHNOLOGIES LIMITED,10,"$60,000"
FIDESSA CORPORATION,10,"$93,389"
DEPARTMENT VETERANS AFFAIRS,10,"$55,299"
MILLWARD BROWN,10,"$115,025"
URBAN GREEN ENERGY,10,"$63,777"
EQUITABLE LIFE INSURANCE COMPANY,10,"$121,158"
TENAZX,10,"$70,661"
VODAFONE,10,"$160,674"
BOLD STRIDES SOLUTIONS,10,"$75,000"
STRATEGY,10,"$134,000"
JONES LANG LASALLE AMERICAS,10,"$69,871"
UROOJ,10,"$65,760"
LAB49,10,"$150,957"
SELSOFT,10,"$56,620"
GLOBAL ASSET MANAGEMENT,10,"$123,300"
ESSEX LAKE GROUP,10,"$71,026"
DESIGN STUDIO,10,"$78,883"
OPENLINK FINANCIAL,10,"$93,081"
DESIMONE ENGINEERS,10,"$78,150"
INTENT MEDIA,10,"$135,900"
ANAGH TECHNOLOGIES,10,"$78,360"
NORGATE TECHNOLOGY,10,"$139,337"
WORLD BUSINESS LENDERS,10,"$46,054"
INTERNATIONAL RESCUE COMMITTEE,10,"$84,837"
UNIVERSAL SOFTWARE CORPORATION,10,"$70,870"
VIMEO,10,"$107,376"
RAMPS INTERNATIONAL,10,"$89,900"
CAPITAL MANAGEMENT,10,"$100,611"
YORK UNIVERSITY COURANT INSTITUTE MATHEMAT,10,"$113,962"
AXELON SERVICES CORPORATION,10,"$87,239"
READY ANALYTICS,10,"$76,250"
WALTER THOMPSON,10,"$68,125"
3 1 PHILLIP,10,"$60,000"
VISITING NURSE SERVICE YORK HOME CARE,10,"$80,916"
DECK CAPITAL,10,"$96,700"
NYCHHC HARLEM HOSPITAL CENTER,10,"$62,953"
AZTEK,10,"$60,600"
ENNEAD ARCHITECTS,10,"$54,100"
CHINA MERCHANTS BANK,10,"$63,796"
STERLING,10,"$70,144"
PROWISE SOLUTIONS,10,"$76,445"
SOLUTIONS GROUP,10,"$69,431"
TAVANT TECHNOLOGIES,10,"$73,000"
ENTERPRISE SERVICES,10,"$113,500"
PACIFIC GLOBAL ADVISORS,10,"$152,783"
ISMAEL LEYVA ARCHITECTS,10,"$63,120"
SOFTCRYLIC,10,"$94,160"
ANDREA CHARLES BRONFMAN PHILANTHROPIES,10,"$44,824"
MANHATTAN TELECOMMUNICATIONS CORPORATION,10,"$75,829"
PARAMOUNT SOFTWARE SOLUTIONS,10,"$66,000"
OPEN SOCIETY FOUNDATIONS,10,"$117,716"
PERELLA WEINBERG PARTNERS GROUP,10,"$123,026"
PERNOD RICARD,10,"$164,274"
VIRTUSA CORP,10,"$119,536"
BARNES NOBLE,10,"$96,260"
FUNCTIONAL LIFE ACHIEVEMENT,10,"$57,854"
PARAM CONSULTING SERVICES,10,"$60,900"
BROOKFIELD PROPERTY GROUP,10,"$125,786"
PERKINS EASTMAN ARCHITECTS,10,"$53,919"
DOTCOM TEAM,10,"$106,181"
TOWERS WATSON PENNSYLVANIA,10,"$105,843"
KOHN PEDERSEN ASSOCIATES,10,"$64,150"
WIZCOM CORPORATION,9,"$69,306"
SOLOMON PAGE GROUP,9,"$111,787"
CLSA AMERICAS,9,"$162,857"
HUNTER COLLEGE CITY UNIVERSITY YORK,9,"$113,538"
TEACH AMERICA,9,"$94,428"
TURNER CONSTRUCTION COMPANY,9,"$83,992"
MISYS INTERNATIONAL BANKING SYSTEMS,9,"$82,905"
CALYPSO TECHNOLOGY,9,"$128,461"
DAVIDSON KEMPNER CAPITAL MANAGEMENT,9,"$122,444"
NORTH SHORE HEALTH SYSTEM,9,"$72,428"
AMERICAN EAGLE OUTFITTERS,9,"$80,111"
DIRECT DEALER,9,"$73,446"
MORGAN STANLEY BANK,9,"$104,444"
NORCAPCO INTEGRATED SOLUTIONS,9,"$114,076"
EQUINOX HOLDINGS,9,"$99,222"
FOREX CAPITAL MARKETS,9,"$73,156"
WEIGHT WATCHERS INTERNATIONAL,9,"$118,542"
WEIDLINGER ASSOCIATES,9,"$76,468"
LAZARD ASSET MANAGEMENT,9,"$138,378"
WELLS FARGO BANK,9,"$151,051"
MULTINET INTERNATIONAL,9,"$64,406"
EISNERAMPER,9,"$87,111"
ROPES GRAY,9,"$163,111"
GROUP MANAGEMENT SERVICES,9,"$80,667"
WATSON RICE,9,"$56,944"
CIBC WORLD MARKETS CORP,9,"$115,875"
ADVISORS,9,"$104,249"
INCORPORATED,9,"$91,901"
STELLENT SOLUTIONS,9,"$71,403"
CITY COLLEGE YORK,9,"$101,497"
QUANTUM INFOTECH,9,"$75,273"
KURT SALMON,9,"$100,944"
SYNOVATE MANAGEMENT ANALYTICS,9,"$59,220"
SHISEIDO AMERICAS CORPORATION,9,"$95,444"
MANAGEMENT SERVICES,9,"$76,700"
CROSS COMMERCE MEDIA,9,"$107,374"
SYSCOM,9,"$55,784"
SUNGARD CONSULTING SERVICES,9,"$115,499"
SYSTEM SOFT TECHNOLOGIES,9,"$92,111"
MCGLADREY,9,"$106,899"
WILHELMINA MODELS,9,"$260,000"
TABATA OXFORD PERSONNEL,9,"$46,618"
REDI GLOBAL TECHNOLOGIES,9,"$137,242"
GLOBAL POVERTY PROJECT,9,"$62,389"
AMEREX GROUP,9,"$39,361"
APEX TECHNOLOGY SYSTEMS,9,"$75,556"
PAMTEN,9,"$67,292"
ADMERASIA,9,"$49,834"
OGILVY,9,"$91,000"
D-BUG INC,9,"$58,688"
TRADING,9,"$114,897"
CREDITEX GROUP,9,"$106,012"
THOMSON REUTERS HOLDINGS,9,"$119,889"
MOTT WOMEN HEALTHCARE PLLC,9,"$128,400"
STATE UNIVERSITY YORK STONY BROOK,9,"$127,588"
POD1,9,"$97,333"
CHARLES RIVER SYSTEMS,9,"$136,233"
FRIEDMAN,9,"$77,551"
TIBCO SOFTWARE,9,"$100,371"
NASDAQ GROUP,9,"$87,191"
BRANDON CONSULTING ASSOCIATES,9,"$110,686"
DROGA5,9,"$108,778"
UNITED SOFTWARE GROUP,8,"$76,750"
AMPLIFY EDUCATION,8,"$136,875"
AMRO HOLDINGS,8,"$95,000"
PRUTECH SOLUTIONS,8,"$93,535"
DAVID PEYSER SPORTSWEAR,8,"$57,200"
DESIGNS,8,"$54,697"
ITG INC.,8,"$104,875"
NOVAGLOBE,8,"$58,011"
WILLIAM STREET CAPITAL MANAGEMENT,8,"$131,875"
HEALTHCARE STAFFING,8,"$66,069"
MONGODB,8,"$124,551"
ROUNDARCH ISOBAR,8,"$120,869"
SMART SOURCE TECHNOLOGIES,8,"$65,000"
JANE STREET GROUP,8,"$129,509"
ALPHA CLINICAL SYSTEMS,8,"$54,800"
CORE EDUCATION CONSULTING SOLUTIONS,8,"$99,035"
MOTHER INDUSTRIES,8,"$97,938"
CLIFFORD CHANCE,8,"$202,500"
